WORD,DEF
"foncier, -cière","[fɔ̃sje, -sjεr] adj 1 : land <propriétaire foncier : landowner> <impôt foncier : property tax> 2 ▶ inné : innate, inherent"
foncièrement,"[fɔ̃sjεrmᾶ] adv : fundamentally, inherently"
fonction,"[fɔ̃ksjɔ̃] nf 1 : function 2 : job, duties pl, position <faire fonction de : to serve as> 3 en fonction de : according to 4 fonction publique : civil service"
fonctionnaire,"[fɔ̃ksjɔnεr] nmf : official, civil servant"
"fonctionnel, -nelle",[fɔ̃ksjɔnεl] adj : functional
fonctionnellement,[-nεlmᾶ] adv
fonctionnement,"[fɔ̃ksjɔnmᾶ] nm : functioning, working <bon fonctionnement : good working order>"
fonctionner,"[fɔ̃ksjɔne] vi : to function, to work"
fond,"[fɔ̃] nm 1 : bottom, back <au fond de : at the bottom of, at the back of, in the depths of> <sans fond : bottomless> 2 : root, heart, essence 3 : background <sur fond bleu : on a blue background> <fond sonore : background music> 4 à ~ : completely, deeply 5 au fond : in fact, basically 6 de fond en comble : from top to bottom, thoroughly 7 fond de teint : foundation (makeup)"
"fondamental, -tale","[fɔ̃damᾶtal] adj, mpl -taux [-to] : fundamental"
fondamentalement,[-talmᾶ] adv
fondamentalisme,[fɔ̃damᾶtalism] nm : fundamentalism
"fondateur, -trice","[fɔ̃datœr, -tris] n : founder"
fondation,"[fɔ̃dasjɔ̃] nf 1 : founding, establishment 2 : foundation, endowment 3 fondations nfpl : foundation(s) (in construction)"
"fondé, -dée","[fɔ̃de] adj : well-founded, justified <mal fondé : groundless>"
fondement,"[fɔ̃dmᾶ] nm 1 : foundation, basis <sans fondement : unfounded, groundless> 2 fam : bottom, buttocks"
fonder,"[fɔ̃de] vt 1 : to found, to establish 2 : to base se fonder vr ~ sur : to be based on"
fonderie,[fɔ̃dri] nf : foundry
fondre,"[fɔ̃dr] vt {CONJUGATION 63} 1 : to melt, to smelt 2 : to dissolve <fondre en larmes : to dissolve into tears> 3 : to cast (a statue, etc.) 4 : to merge, to blend vi 1 : to melt 2 : to dissolve 3 ~ sur : to swoop down on se fondre vr : to merge, to blend"
fondrière,[fɔ̃drijεr] nf : pothole
fonds,"[fɔ̃] nms & pl 1 : collection (in a museum, etc.) 2 : fund <Fonds Monétaire International : International Monetary Fund> 3 or fonds de commerce : business 4 fonds nmpl : funds, capital"
fondue,[fɔ̃dy] nf : fondue
fongicide 1,[fɔ̃ʒisid] adj : fungicidal fongicide 2 nm : fungicide
fontaine,[fɔ̃tεn] nf 1 : fountain 2 ▶ source : spring
fonte,"[fɔ̃t] nf 1 : melting, smelting 2 : casting 3 : cast iron 4 : font (in printing)"
fonts,[fɔ̃] nmpl fonts baptismaux : baptismal font
foot,"[fut] nm, fam : soccer"
football,[futbol] nm 1 : soccer 2 Can : football 3 football américain : football
"footballeur, -leuse","[futbolœr, -løz] n : soccer player, football player"
footing,"[futiŋ] nm, France : jogging"
for,"[fɔr] nm en son for intérieur : in one's heart of hearts, inwardly"
forage,"[fɔraʒ] nm : drilling, boring"
"forain, -raine","[fɔrɛ̃, -rεn] adj : fairground <marchand forain : fairground merchant>"
forban,"[fɔrbᾶ] nm 1 ▶ pirate : pirate, freebooter 2 ▶ escroc : crook"
forçat,"[fɔrsa] nm 1 : convict, galley slave 2 travail de forçat : drudgery, hard work"
force,"[fɔrs] nf 1 : strength <reprendre des forces : to regain one's strength> <force de caractère : strength of character> <force d'âme : fortitude> <force vitale : lifeblood> 2 : force <entrer de force dans : to force one's way into> <la force de l'habitude : the force of habit> 3 : force (in physics) <force électromagnétique : electromagnetic force> 4 (military or security) force <les forces armées : the armed forces> <les forces de l'ordre : the police> 5 à force de : as a result of, by dint of 6 à toute force : at all costs 7 par la force des choses : of necessity, inevitably"
"forcé, -cée",[fɔrse] adj 1 : forced 2 : inevitable
forcément,"[fɔrsemᾶ] adv : necessarily, inevitably"
"forcené 1, -née","[fɔrsəne] adj : frantic, frenzied forcené 2 nm : maniac"
forceps,[fɔrsεps] nms & pl : forceps pl
forcer,"[fɔrse] vt {CONJUGATION 6} 1 : to force, to compel 2 : to force open, to force through 3 : to strain, to overtax vi : to strain, to overdo it se forcer vr : to force oneself, to make an effort"
forclusion,[fɔrklyzjɔ̃] nf : foreclosure
forer,"[fɔre] vt : to drill, to bore"
foresterie,[fɔrεstəri] nf : forestry
"forestier 1, -tière","[fɔrεstje, -tjεr] adj : forest, forested forestier 2, -tière n : forester"
foret,[fɔrε] nm (manual) drill
forêt,[fɔrε] nf : forest
foreuse,[fɔrøz] nf : drill
forfaire,"[fɔrfεr] vi {CONJUGATION 44} ~ à : to fail in, to be false to"
forfait,"[fɔrfε] nm 1 : fixed price, package deal 2 : default <déclarer forfait : to withdraw, to give up> 3 : heinous crime"
forfaitaire,[fɔrfεtεr] adj : inclusive
forfanterie,"[fɔrfᾶtri] nf : bragging, boastfulness"
forge,[fɔrʒ] nf : forge
"forgé, -gée","[fɔrʒe] adj 1 : fabricated, made up 2 fer forgé : wrought iron"
forger,"[fɔrʒe] vt {CONJUGATION 16} 1 : to forge 2 : to form, to build (character, etc.) 3 : to concoct, to invent <c'est forgé de toutes pièces : it's a total fabrication>"
forgeron,[fɔrʒərɔ̃] nm : blacksmith
formaldéhyde,[fɔrmaldeɪd] nm : formaldehyde
formaliser,[fɔrmalize] vt : to formalize se formaliser vr : to take offense
formalisme,[fɔrmalism] nm : formalism
formalité,[fɔrmalite] nf : formality
format,[fɔrma] nm : format
formater,[fɔrmate] vt : to format (a computer disk)
"formateur 1, -trice","[fɔrmatœr, -tris] adj : formative formateur 2, -trice n : trainer"
formation,"[fɔrmasjɔ̃] nf 1 : formation 2 : education, training <formation professionnelle : vocational training>"
forme,"[fɔrm] nf 1 : form, shape <prendre forme : to take shape> <sans forme : formless, shapeless> 2 : method, way <forme de pensée : way of thinking> 3 : form, procedure <pour la forme : as a matter of form> 4 : form, fitness <être en pleine forme : to be in great shape> 5 : last (of shoes) 6 formes nfpl : figure (of the human body), lines (of an object) 7 formes nfpl : proprieties, conventions <y mettre les formes : to be tactful>"
"formel, -melle","[fɔrmεl] adj 1 : formal 2 ▶ catégorique : definitive, categorical, express"
formellement,[-mεlmᾶ] adv
former,"[fɔrme] vt 1 : to form, to shape 2 : to develop 3 : to constitute 4 : to train, to educate se former vr"
formidable,"[fɔrmidabl] adj 1 ▶ énorme : tremendous <un formidable défi : a tremendous challenge> 2 fam : great, terrific 3 fam : incredible"
formidablement,[-dabləmᾶ] adv
formulaire,"[fɔrmylεr] nm : form, questionnaire"
formulation,[fɔrmylasjɔ̃] nf : formulation
formule,"[fɔrmyl] nf 1 : formula 2 : expression, phrase <formule de politesse : polite phrase, closing (of a letter)> 3 : method, way, option <formule de paiement : method of payment> 4 ▶ formulaire(printed) form"
formuler,"[fɔrmyle] vt 1 : to formulate, to express 2 : to draw up, to write out"
fornication,[fɔrnikasjɔ̃] nf : fornication
forniquer,[fɔrnike] vi : to fornicate
fort 1,"[fɔr] adv 1 ▶ très : very, extremely <vous savez fort bien : you know full well> 2 ▶ beaucoup : greatly, very much <j'en doute fort : I doubt it very much> 3 : strongly, loudly, hard <frapper fort : to strike hard>"
"fort 2, forte","[fɔr, fɔrt] adj 1 : strong, powerful <fort comme un bœuf : strong as an ox> <café fort : strong coffee> <c'est plus fort que moi : I can't help it> 2 : intense, loud, bright 3 : large, heavy, stout 4 : able, gifted <être fort de : to be good at> 5 c'est un peu fort! famthat's a bit much! fort 3 nm 1 : strength, strong point 2 : strong person 3 : fort, fortress 4 au fort de : at the height of, in the midst of, in the depths of"
fortement,"[fɔrtəmᾶ] adv : strongly, deeply, intensely"
forteresse,[fɔrtərεs] nf : fortress
fortification,[fɔrtifikasjɔ̃] nf : fortification
fortifier,"[fɔrtifje] vt {CONJUGATION 96} : to fortify, to strengthen se fortifier vr"
"fortuit, -tuite","[fɔrtɥi, -tɥit] adj : fortuitous, chance"
fortuitement,"[fɔrtɥitmᾶ] adv : fortuitously, by chance"
fortune,"[fɔrtyn] nf 1 : fortune <faire fortune : to make one's fortune> 2 ▶ chance : chance, luck 3 de ~ : makeshift"
"fortuné, -née",[fɔrtyne] adj 1 : fortunate 2 riche : wealthy
forum,[fɔrɔm] nm 1 : forum 2 : newsgroup (on the Internet)
fosse,[fos] nf 1 : pit <fosse septique : septic tank> <fosse d'aisances : cesspool> <fosse d'orchestre : orchestra pit> 2 ▶ tombe : grave
fossé,"[fose] nm 1 : ditch, trench 2 : gulf, gap <fossé de générations : generation gap>"
fossette,[fosεt] nf : dimple
fossile 1,"[fosil] adj : fossil, fossilized fossile 2 nm : fossil"
fossiliser,[fosilize] vt : to fossilize se fossiliser vr
fossoyeur,[foswajœr] nm : gravedigger
fou 1,"[fu] (fol [fɔl] before a vowel or mute h) folle [fɔl] adj 1 : crazy, insane <devenir fou : to go mad> <il est fou d'elle : he's crazy about her> 2 : silly, ridiculous 3 : tremendous, extreme <avoir un talent fou : to be extremely talented> 4 ~ de : crazy with <fou de joie : jumping for joy> <fou de jalousie : green with envy> fou 2, folle n 1 : crazy person, lunatic 2 comme un fou famlike crazy fou 3 nm 1 : bishop (in chess) 2 : fool, jester 3 fou de Bassan : gannet"
foudre,[fudr] nf 1 : lightning 2 foudres nfpl : wrath
"foudroyant, foudroyante","[fudrwajᾶ, fudrwajᾶt] adj 1 : overwhelming, crushing 2 : violent (of an illness) <une mort foudroyante : a sudden death>"
foudroyer,[fudrwaje] vt {CONJUGATION 58} : to strike down
fouet,"[fwε] nm 1 : whip 2 : whisk <fouet à œufs : egg whisk> 3 de plein fouet : full-force, head-on"
fouetter,"[fwete] vt 1 : to whip, to lash 2 : to whisk <crème fouettée : whipped cream>"
fougère,"[fuʒεr] nf : fern, bracken"
fougue,"[fug] nf : ardor, spirit, passion"
fougueusement,"[fugøzmᾶ] adv : with spirit, ardently"
"fougueux, -geuse","[fugø, -gøz] adj : ardent, spirited"
fouille,"[fuj] nf 1 : digging 2 : search 3 fouilles nfpl : excavations, (archaeological) dig"
fouiller,"[fuje] vt 1 : to search, to go through (baggage, pockets, etc.) 2 : to excavate, to dig vi 1 : to dig, to root (of a pig) 2 ~ dans : to rummage through, to delve into"
fouillis,"[fuji] nm : jumble, mess"
fouiner,"[fwine] vi, fam : to be nosy, to snoop around"
"fouineur 1, -neuse","[fwinœr, -nøz] adj : inquisitive, nosy fouineur 2, -neuse n 1 : busybody 2 : bargain hunter"
fouir,"[fwir] vt : to burrow, to dig"
foulard,"[fular] nm : scarf, neckerchief"
foule,"[ful] nf 1 : crowd, mob 2 une foule de : masses of, lots of"
foulée,"[fule] nf 1 : stride 2 dans la foulée : while I was (he was, etc.) at it 3 dans la foulée de : on the heels of, in the wake of"
fouler,"[fule] vt 1 : to press 2 : to tread, to set foot on <fouler aux pieds : to trample on> 3 : to sprain vi Can : to shrink <mes pantalons ont foulé : my pants shrank> se fouler vr 1 : to sprain 2 fam : to strain oneself"
foulure,[fulyr] nf ▶ entorse : sprain
four,"[fur] nm 1 : oven <four à micro-ondes : microwave (oven)> 2 : kiln 3 fam : flop (in theater, etc.)"
fourbe,[furb] adj : deceitful
fourberie,[furbəri] nf : deceit
fourbir,[furbir] vt 1 : to polish up 2 fourbir ses armes : to prepare for battle
"fourbu, -bue",[furby] adj : exhausted
fourche,"[fur∫] nf 1 : pitchfork 2 : fork, branching"
fourcher,[fur∫e] vi 1 : to fork 2 ma (sa) langue a fourché : it was a slip of the tongue vt : to fork (in agriculture)
fourchette,"[fur∫εt] nf 1 : fork 2 : range, bracket"
"fourchu, -chue","[fur∫y] adj : forked, split"
fourgon,"[furgɔ̃] nm 1 : van 2 : freight car, baggage car <fourgon de queue : caboose> 3 : poker (for a fireplace)"
fourgonnette,[furgɔnεt] nf : minivan
fourmi,[furmi] nf : ant
fourmilier,[furmilje] nm : anteater
fourmilière,[furmiljεr] nf : anthill
fourmillement,"[furmijmᾶ] nm 1 : swarming 2 : tingling, pins and needles pl"
fourmiller,"[furmije] vi 1 : to swarm, to mill about 2 : to abound <fourmiller de : to be teeming with> 3 : to tingle, to have pins and needles"
fournaise,"[furnεz] nf, Can : furnace"
fourneau,"[furno] nm, pl fourneaux [furno] 1 : stove 2 : furnace"
fournée,[furne] nf : batch
"fourni, -nie","[furni] adj 1 : thick, bushy 2 bien fourni : well-stocked"
fournil,[furnil] nm : bakery
fournir,"[furnir] vt 1 : to supply, to provide (with) 2 : to produce (wine, etc.) 3 fournir un effort : to make an effort vi ~ à : to provide for se fournir vr ~ chez : to shop at"
"fournisseur, -seuse","[furnisœr, -søz] n : supplier, dealer, purveyor"
fourniture,"[furnityr] nf 1 : furnishing 2 fournitures nfpl : equipment, supplies <fournitures de bureaux : office supplies>"
fourrage,"[furaʒ] nm : feed, fodder"
fourrager,"[furaʒe] vi {CONJUGATION 17} : to rummage, to forage"
"fourré 1, -rée",[fure] adj 1 : fur-lined 2 : filled (of candies) fourré 2 nm : thicket
fourreau,"[furo] nm, pl fourreaux 1 : sheath, case, scabbard 2 or robe fourreau : sheath dress"
fourrer,"[fure] vt 1 : to line with fur 2 : to stuff, to fill 3 fam : to thrust, to stick se fourrer vr 1 fam : to get, to put oneself <se fourrer sous les couvertures : to crawl under the covers> 2 Can fam : to mess up"
fourre-tout,"[furtu] nms & pl : tote bag, carryall"
"fourreur, -reuse","[furœr, -røz] n : furrier"
fourrière,[furjεr] nf : pound (for animals or vehicles)
fourrure,[furyr] nf 1 : fur 2 : coat (of an animal)
fourvoyer,"[furvwaje] vt {CONJUGATION 58} : to lead astray se fourvoyer vr 1 : to make an error, to go astray 2 ~ dans : to stray into, to get involved in"
foyer,"[fwaje] nm 1 : hearth, fireplace 2 ▶ résidence : home <femme au foyer : housewife> <sans foyer : homeless> 3 : home (for the elderly, etc.) 4 : focus <lunettes à double foyer : bifocals> 5 : center, seat, source"
fracas,"[fraka] nms & pl : crash, din"
"fracassant, -sante","[frakasᾶ, -sᾶt] adj 1 : deafening, thunderous 2 : sensational <un succès fracassant : a stunning success>"
fracasser,"[frakase] vt : to shatter, to smash se fracasser vr"
fraction,[fraksjɔ̃] nf : fraction
fractionnaire,[fraksjɔnεr] adj : fractional
fractionner,"[fraksjɔne] vt : to divide, to split (up) se fractionner vr"
fracture,[fraktyr] nf : fracture <fracture du crâne : fractured skull>
fracturer,"[fraktyre] vt 1 : to fracture, to break 2 : to break open"
fragile,"[fraʒil] adj 1 ▶ cassable : fragile, breakable 2 faible : sensitive, weak, frail"
fragiliser,"[fraʒilize] vt : to weaken, to make fragile"
fragilité,[fraʒilite] nf 1 : fragility 2 : frailty
fragment,"[fragmᾶ] nm 1 : fragment, bit 2 : passage (from a book), snatch (of a conversation)"
fragmentaire,"[fragmᾶtεr] adj : fragmentary, sketchy"
fragmenter,"[fragmᾶte] vt : to fragment, to break up se fragmenter vr"
fragmentation,"[fragmᾶtasjɔ̃] nf : fragmentation, splitting up"
frai,"[frε] nm 1 : fry 2 : fish eggs, spawn"
fraîchement,"[frε∫mᾶ] adv 1 : freshly, newly <fraises fraîchement cueillies : freshly picked strawberries> 2 : coolly <fraîchement reçu : coolly received>"
fraîcheur,[frε∫œr] nf 1 : freshness 2 : coolness
fraîchir,[frε∫ir] vi 1 : to cool off 2 : to freshen
frais 1,"[frε] adv 1 : freshly, recently 2 il fait frais : it's cool outside"
"frais 2, fraîche","[frε, frε∫] adj 1 : fresh <fruits frais : fresh fruit> 2 ▶ récent : new, recent <nouvelles fraîches : recent news> 3 : cool <températures plus fraîches : cooler temperatures> 4 peinture fraîche : wet paint frais 3 nm 1 mettre au frais : to put in a cool place 2 prendre le frais : to take a breath of fresh air 3 frais nmpl : expenses, fees, charges"
fraise,[frεz] nf 1 : strawberry 2 (dentist's) drill
fraiser,[frεze] vt : to ream
framboise,[frᾶbwaz] nf : raspberry
franc 1,"[frᾶ] adv à parler franc : frankly, to be quite frank"
"franc 2, franche","[frᾶ, frᾶ∫] adj 1 : frank, straightforward 2 : pure (of colors, etc.) 3 : absolute, downright 4 : free, exempt <port franc : duty-free port> franc 3 nm : franc"
"français 1, -çaise","[frᾶsε, -sεz] adj : French français 2 nm : French (language) Français, -çaise n : Frenchman m, Frenchwoman f"
franchement,"[frᾶ∫mᾶ] adv 1 : frankly, candidly 2 : clearly, definitely 3 : boldly, firmly 4 : downright <c'est franchement ridicule! : it's really silly!>"
franchir,"[frᾶ∫ir] vt 1 : to cross over, to surmount, to clear 2 : to cover (a distance) 3 : to last through (a period of time)"
franchise,[frᾶ∫iz] nf 1 : frankness 2 : exemption <en franchise douanière : duty-free> <franchise postale : postage paid> 3 : deductible 4 : franchise
franchissement,"[frᾶ∫ismᾶ] nm : crossing, clearing"
"franciscain, -caine","[frᾶsiskɛ̃, -kεn] adj & n : Franciscan"
franciser,[frᾶsize] vt : to frenchify
franc-jeu,[frᾶʒø] nm : fair play
franc-maçon,[frᾶmasɔ̃] nm : Freemason
franc-maçonnerie,[frᾶmasɔnri] nf
"franco-canadien 1, -dienne","[frᾶkokanadjɛ̃,-djεn] adj : French-Canadian franco-canadien 2, -dienne n : Canadian French"
francophile,[frᾶkɔfil] adj & nmf : francophile
francophone 1,[frᾶkɔfɔn] adj : French-speaking francophone 2 nmf : French speaker
francophonie,[frᾶkɔfɔni] nf : French-speaking community
franc-parler,"[frᾶparle] nm, pl franc-parlers : frankness <avoir son franc-parler : to speak one's mind>"
franc-tireur,"[frᾶtirœr] nm, pl francs-tireurs 1 : irregular (soldier), guerrilla 2 : maverick <agir en franc-tireur : to act independently>"
frange,[frᾶʒ] nf 1 : fringe 2 : bangs (of hair)
franger,[frᾶʒe] vt {CONJUGATION 17} : to fringe
"frangin, -gine","[frᾶʒɛ̃, -ʒin] n, France fam : brother m, sister f"
franquette,"[frᾶkεt] nf à la bonne franquette : without ceremony, informally"
"frappant, -pante","[frapᾶ, -pᾶt] adj : striking <un contraste frappant : a striking contrast>"
frappe,"[frap] nf 1 : impression, stamp 2 : typing"
frapper,"[frape] vt 1 : to strike, to hit 2 : to strike, to impress, to astonish 3 : to mint 4 : to ice, to chill 5 frapper d'ostracisme : to ostracize vi 1 : to hit, to knock, to bang 2 : to clap <frapper dans ses mains : to clap one's hands> se frapper vr : to get all worked up"
"frappeur, -peuse","[frapœr, -pøz] n, Can : hitter, batter <frappeur désigné : designated hitter>"
frasque,"[frask] nf : prank, escapade <faire des frasques : to get into mischief>"
"fraternel, -nelle",[fratεrnεl] adj : fraternal
fraternellement,[-nεlmᾶ] adv
fraterniser,[fratεrnize] vi : to fraternize
fraternisation,[-nizasjɔ̃] nf
fraternité,"[fratεrnite] nf : fraternity, brotherhood"
fratricide 1,[fratrisid] adj : fratricidal fratricide 2 nm : fratricide
fraude,[frod] nf 1 : fraud <fraude fiscale : tax evasion> 2 passer en fraude : to smuggle in
frauder,[frode] v : to cheat
"fraudeur, -deuse","[frodœr, -døz] n : cheat, swindler"
"frauduleux, -leuse","[frodylø, -løz] adj : fraudulent"
frauduleusement,[-løzmᾶ] adv
frayer,"[frεje] vt {CONJUGATION 11} : to open up, to clear vi 1 : to spawn 2 ~ avec : to associate with se frayer vr se frayer un chemin : to make one's way"
frayeur,[frεjœr] nf : fright
fredaine,"[frədεn] nf : prank, escapade"
fredonner,[frədɔne] vt : to hum
freezer,[frizœr] nm : freezer (of a refrigerator)
frégate,[fregat] nf : frigate
frein,"[frɛ̃] nm 1 : brake 2 : check, restraint <mettre un frein à : to curb, to block> <sans frein : unrestrained, unbridled>"
freinage,[frεnaʒ] nm : braking
freiner,"[frene] vt : to slow down, to check vi : to brake"
"frelaté, -tée","[frəlate] adj 1 : adulterated 2 : unnatural, artificial, corrupt"
frêle,"[frεl] adj 1 : weak, flimsy 2 : frail"
frelon,[frəlɔ̃] nm : hornet
frémir,"[fremir] vi 1 ▶ frissonner : to tremble, to shiver, to shudder 2 : to quiver, to flutter 3 : to start to boil, to simmer"
"frémissant, -sante","[fremisᾶ, -sᾶt] adj : quivering, trembling"
frémissement,"[fremismᾶ] nm : trembling, shivering, shuddering"
frêne,[frεn] nm : ash (tree or wood)
frénésie,[frenezi] nf : frenzy
frénétique,"[frenetik] adj : frantic, frenetic"
frénétiquement,[-tikmᾶ] adv
fréquemment,[frekamᾶ] adv : frequently
fréquence,[frekᾶs] nf : frequency
"fréquent, -quente","[frekᾶ, -kᾶt] adj : frequent"
fréquentation,"[frekᾶtasjɔ̃] nf 1 : frequenting 2 : attendance <taux de fréquentation : attendance rate> 3 ▶ relation : acquaintance <mauvaises fréquentations : bad company> 4 fréquentations nfpl Can : dating, courting"
fréquenter,"[frekᾶte] vt 1 : to frequent 2 : to attend 3 : to associate with, to consort with se fréquenter vr 1 : to see each other 2 : to go out (with each other), to date"
frère,"[frεr] nm 1 : brother 2 : friar, brother (in religion)"
fresque,[frεsk] nf : fresco
fret,[frε(t)] nm : freight
fréter,[frete] vt {CONJUGATION 87} : to charter
frétillement,"[fretijmᾶ] nm : wagging, wag (of a tail)"
frétiller,"[fretije] vi 1 : to wriggle, to quiver <frétillant de joie : quivering with delight> 2 : to wag <sa queue frétille : its tail is wagging>"
fretin,[frətɛ̃] nm menu fretin : small fry
freux,[frø] nm ▶ corbeau : rook
friable,[frijabl] adj : crumbly
"friand, friande","[frijᾶ, -jᾶd] adj ~ de : partial to, fond of"
friandise,[frijᾶdiz] nf 1 ▶ bonbon : candy 2 : delicacy
fric,"[frik] nm, fam : dough, cash"
fricassée,[frikase] nf : fricassee
fricasser,[frikase] vt
friche,"[fri∫] nf : fallow land, wasteland <en friche : fallow>"
friction,"[friksjɔ̃] nf 1 : friction 2 ▶ massage : massage, rubdown"
frictionner,"[friksjɔne] vt : to rub (down), to massage se frictionner vr"
frigide,[friʒid] adj : frigid
frigidité,[-ʒidite] nf
frigo,"[frigo] nm, fam : fridge"
frigorifier,[frigɔrifje] vt {CONJUGATION 96} 1 : to refrigerate 2 être frigorifié famto be frozen stiff
frigorifique,"[frigɔrifik] adj : refrigerated (of a truck, etc.)"
"frileux, -leuse","[frilø, -løz] adj 1 : sensitive to cold 2 : cautious, timid"
frimas,[frima] nms & pl : hoarfrost
frime,"[frim] nf, fam : sham, pretense <c'est pour la frime : it's just for show>"
frimer,"[frime] vi, fam : to put on an act"
frimousse,"[frimus] nf, fam : pretty little face"
fringale,"[frɛ̃gal] nf, fam 1 avoir la fringale : to be starving 2 avoir une fringale de : to have a craving for"
"fringant, -gante","[frɛ̃gᾶ, -gᾶt] adj 1 : dashing 2 : spirited (of a horse)"
fringillidé,[frɛ̃ʒilide] nm : finch
fringues,"[frɛ̃g] nfpl, fam : gear, duds"
friper,"[fripe] vt : to wrinkle, to crumple se friper vr"
friperie,"[fripri] nf, France 1 : secondhand clothes shop 2 : secondhand clothes"
"fripon 1, -ponne","[fripɔ̃, -pɔn] adj coquin : mischievous fripon 2, -ponne n : rascal"
fripouille,"[fripuj] nf, fam : scoundrel, crook"
frire,[frir] v {CONJUGATION 45} : to fry
frise,[friz] nf : frieze
friser,"[frize] vt 1 : to curl 2 : to graze, to skim (a surface) 3 : to border on <elle doit friser la quarantaine : she must be close to forty> vi : to curl se friser vr se faire friser : to have one's hair curled"
frisette,[frizεt] nf : ringlet
"frisquet, -quette","[friskε, -kεt] adj : chilly, nippy"
frisson,"[frisɔ̃] nm 1 : shiver, shudder 2 : ripple (of water, etc.), rustle (of leaves)"
frissonnement,"[frisɔnmᾶ] nm 1 : shiver, shudder 2 : rippling, rustling"
frissonner,"[frisɔne] vi 1 : to shiver, to shudder 2 : to rustle, to ripple"
frites,[frit] nfpl : french fries
friture,"[frityr] nf 1 : frying 2 : deep fat, oil 3 : fried food"
frivole,"[frivɔl] adj : frivolous, trivial"
frivolement,[-vɔlmᾶ] adv
frivolité,[frivɔlite] nf : frivolity
froc,"[frɔk] nm 1 (religious) habit 2 fam : pants pl, trousers pl"
froid 1,[frwa] adv il fait froid : it's cold (outside)
"froid 2, froide","[frwa, frwad] adj 1 : cold 2 : unfeeling, insensitive froid 3 nm 1 : cold <un grand froid : intense cold> <avoir froid : to feel cold> <conservez au froid : keep in a cold place> 2 : cold (illness) <prendre froid : to catch cold> 3 : coolness, chill <être en froid avec : to be on bad terms with> 4 à ~ : calmly, cooly 5 à ~ : without preparation, spontaneous(ly)"
froidement,"[frwadmᾶ] adv : coldly, coolly"
froideur,"[frwadœr] nf : coldness, coolness"
froissement,"[frwasmᾶ] nm 1 : crumpling, creasing 2 : rustle, rustling"
froisser,"[frwase] vt 1 : to crumple, to crease, to muss up 2 ▶ blesser : to hurt, to offend, to upset se froisser vr 1 : to crease, to crumple (up) 2 se froisser un muscle : to strain a muscle"
frôler,"[frole] vt ▶ effleurer : to touch lightly, to brush, to graze"
fromage,[frɔmaʒ] nm 1 : cheese 2 fromage blancor fromage cottage : cottage cheese
"fromager 1, -gère","[frɔmaʒe, -ʒεr] adj : cheese <l'industrie fromagère : the cheese industry> fromager 2, -gère n : cheese maker, cheese merchant"
fromagerie,[frɔmaʒri] nf : cheese store
froment,[frɔmᾶ] nm : wheat
fronce,[frɔ̃s] nf : gather (of fabric)
froncement,[frɔ̃smᾶ] nm froncement de sourcils : frown
froncer,"[frɔ̃se] vt {CONJUGATION 6} 1 : to gather (fabric) 2 : to wrinkle, to pucker <froncer les sourcils : to knit one's brow, to frown>"
frondaison,[frɔ̃dεzɔ̃] nf : foliage
fronde,"[frɔ̃d] nf 1 : rebellion, revolt 2 : slingshot 3 : frond"
"frondeur, -deuse","[frɔ̃dœr, -døz] adj : rebellious"
front,"[frɔ̃] nm 1 : forehead, brow 2 : front (in meteorology, politics, war, etc.) 3 : audacity, effrontery <avoir le front de faire : to have the nerve to do> 4 de ~ : without hesitation, head-on 5 de ~ : abreast <à cinq de front : five abreast> 6 faire front à : to confront, to face up to"
"frontal, -tale","[frɔ̃tal] adj, mpl frontaux [frɔ̃to] : frontal"
"frontalier, -lière","[frɔ̃talje, -ljεr] adj : frontier, border"
frontière,"[frɔ̃tjεr] nf 1 : frontier, border 2 : boundary"
frontispice,[frɔ̃tispis] nm : frontispiece
fronton,[frɔ̃tɔ̃] nm : pediment
frottement,"[frɔtmᾶ] nm 1 : rubbing, scraping 2 frottements nmpl : friction, disagreement"
frotter,"[frɔte] vt 1 : to rub <frotter une allumette : to strike a match> 2 : to polish, to scrub vi : to rub se frotter vr 1 : to rub <ne te frotte pas les yeux : don't rub your eyes> 2 : to scrub oneself 3 ~ à : to face up to, to take on"
frou-frou or froufrou,"[frufru] nm, pl frou-frous or froufrous : rustle, swish"
froufrouter,"[frufrute] vi : to rustle, to swish"
frousse,"[frus] nf, fam : scare, fright, jitters pl"
fructifier,[fryktifje] vi {CONJUGATION 96} 1 : to bear fruit 2 : to yield a profit
"fructueux, -tueuse","[fryktɥø, -tɥøz] adj 1 : fruitful, productive 2 ▶ rentable : profitable"
"frugal, -gale","[frygal] adj, mpl frugaux [frygo] : frugal"
frugalement,[-galmᾶ] adv
frugalité,[frygalite] nf : frugality
fruit,[frɥi] nm 1 : fruit <jus de fruits : fruit juice> 2 fruits de mer : seafood
"fruité, -tée",[frɥite] adj : fruity
"fruitier 1, -tière","[frɥitje, -tjεr] adj : fruit <arbre fruitier : fruit tree> fruitier 2, -tière n : fruit merchant"
fruste,"[fryst] adj 1 : worn 2 ▶ grossier : rough, uncouth"
"frustrant, -trante","[frystrᾶ, -trᾶt] adj : frustrating"
frustration,[frystrasjɔ̃] nf : frustration
frustrer,"[frystre] vt 1 ▶ décevoir : to frustrate, to disappoint 2 ▶ priver : to deprive"
fuel,[fjul] ▶ fioul
fugace,[fygas] adj éphémère : fleeting
